date;cs;vb;vbs;rb;fs;fsx
Mon Apr 11 10:14:08 CEST 2011;278974;16612;580;3100;0;187
Mon Apr 11 14:45:55 CEST 2011;279001;16612;580;3100;0;187
Tue Apr 12 10:03:53 CEST 2011;279009;16612;580;3100;0;187
Tue Apr 12 14:16:13 CEST 2011;279194;16612;580;3100;0;222
Wed Apr 13 09:36:47 CEST 2011;279308;16612;580;3100;0;222
Wed Apr 13 10:05:37 CEST 2011;279318;16612;580;3100;0;222
Thu Apr 14 09:40:03 CEST 2011;274176;16348;580;2748;0;222
Thu Apr 14 16:55:29 CEST 2011;273931;16348;580;2741;0;222
Fri Apr 15 08:55:53 CEST 2011;274116;16348;580;2741;0;222
Mon Apr 18 09:16:22 CEST 2011;273197;16348;580;2744;0;222
Mon Apr 18 09:18:31 CEST 2011;273197;16348;580;2744;0;222
Tue Apr 19 09:22:08 CEST 2011;273586;16348;580;2744;0;222
Tue Apr 19 16:07:03 CEST 2011;273680;16348;580;2780;0;222
Wed Apr 20 09:49:41 CEST 2011;273736;16348;580;2780;0;222
Wed Apr 20 16:44:07 CEST 2011;273866;16348;580;2769;0;222
Thu Apr 21 08:55:47 CEST 2011;273866;16348;580;2769;0;222
Tue Apr 26 15:49:33 CEST 2011;279873;16348;580;2769;0;222
Wed Apr 27 08:54:53 CEST 2011;279999;16348;580;2769;0;222
Thu Apr 28 13:24:06 CEST 2011;280581;16348;576;3115;0;222
Fri Apr 29 11:41:17 CEST 2011;280856;16348;576;3116;0;222
Mon May 09 09:09:18 CEST 2011;285175;16348;576;3116;0;222
